Date,Time,T02,T04,T06,T08,T09,T12,T13,T14,T17,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T33,T35,T36,T37,T39,T40,T41,T42,T43,T44,T46,T47,T48,T49,T51,T52,T53,T55,T56,T57,T58,T59,T60
2021-08-03,20:00:00,3.569,11.572,4.526,10.45,11.144,4.587,9.102,10.559,10.1,3.062,9.638,10.56,8.072,9.557,5.059,4.047,3.583,5.118,4.573,3.08,10.141,5.544,9.075,3.555,4.573,4.129,6.518,6.064,5.104,10.141,10.128,4.561,12.067,3.006,11.082,9.076,3.564,6.09,11.61,9.638,4.037,4.086,10.602,8.58,7.068
2021-08-04,0:00:00,3.569,7.566,5.028,6.447,6.625,4.587,7.094,7.553,6.594,3.062,6.625,8.053,7.57,6.547,5.059,4.047,3.583,5.118,4.573,3.08,7.632,5.544,6.567,3.053,4.573,4.129,6.518,6.064,5.104,6.629,7.616,5.062,8.058,3.006,6.063,6.567,3.564,6.09,7.596,7.127,4.037,4.086,6.589,5.564,7.068
2021-08-04,4:00:00,3.569,7.065,4.526,6.948,6.625,4.085,6.592,6.551,6.594,3.062,6.625,7.551,6.567,6.547,5.059,4.047,3.583,5.118,4.573,3.08,6.628,4.54,6.065,3.053,4.573,4.129,6.518,6.064,5.104,6.629,6.611,5.062,6.554,3.006,6.565,6.567,3.564,5.587,7.094,6.625,4.037,4.086,6.589,6.067,6.066
2021-08-04,8:00:00,3.569,8.568,4.526,8.449,8.634,4.085,7.596,8.054,8.096,3.062,8.132,8.554,6.065,8.053,4.557,3.544,3.08,4.616,4.573,3.08,8.134,4.54,7.57,3.053,4.573,3.627,6.016,5.563,4.602,8.636,6.611,4.561,8.058,3.006,9.075,8.072,3.062,5.587,8.098,8.132,4.037,4.086,8.595,7.575,6.066
2021-08-04,12:00:00,3.067,11.071,4.526,10.95,11.144,4.085,9.102,10.058,10.601,2.56,10.642,10.56,6.567,10.56,4.557,3.544,3.08,4.616,4.573,3.08,10.643,4.54,10.079,3.053,4.573,3.627,6.016,5.563,4.602,11.646,8.621,4.561,11.065,2.506,13.589,10.58,3.062,5.587,10.607,10.14,4.037,4.086,11.604,10.59,6.066
2021-08-04,16:00:00,3.067,17.077,4.526,18.454,15.156,4.085,11.61,13.564,17.608,2.56,16.159,13.568,7.57,14.069,4.557,3.544,3.08,4.616,4.071,3.08,12.147,5.544,12.084,3.053,4.071,3.627,6.016,5.563,4.602,14.152,12.137,4.561,16.074,2.506,17.597,13.087,3.062,6.09,16.122,13.652,4.037,3.584,17.617,16.11,6.567
2021-08-04,20:00:00,3.569,12.072,4.526,10.95,11.144,4.587,9.603,12.062,10.601,3.062,11.144,11.563,8.574,10.56,4.557,3.544,3.08,4.616,4.071,3.08,11.144,6.046,10.079,3.053,4.071,3.627,6.016,5.563,4.602,10.643,11.133,4.561,13.57,2.506,11.583,10.079,3.564,6.592,12.111,10.642,4.037,4.086,11.604,9.585,7.569
2021-08-05,0:00:00,3.569,9.068,5.028,8.449,8.132,4.587,8.6,8.555,7.596,3.062,8.132,9.056,8.072,8.053,5.059,3.544,3.583,5.118,4.071,3.08,9.138,6.046,7.57,3.053,4.573,4.129,6.518,5.563,5.104,8.135,8.119,5.062,9.562,3.006,7.57,8.072,3.564,6.592,8.6,8.132,4.037,4.086,8.094,6.569,7.068
2021-08-05,4:00:00,3.569,7.566,5.028,6.447,6.625,4.587,7.094,7.052,6.093,3.062,6.122,7.551,7.068,6.046,5.059,3.544,3.583,5.118,4.573,3.08,7.632,5.544,6.065,3.053,4.573,4.129,6.518,5.563,5.104,6.127,6.611,5.062,8.058,3.006,5.561,6.567,3.564,6.592,7.094,6.122,4.037,4.086,6.087,5.061,6.567
2021-08-05,8:00:00,3.569,8.568,4.526,8.449,8.634,4.085,8.098,8.054,8.096,3.062,8.132,8.554,6.567,8.053,4.557,3.544,3.08,4.616,4.573,3.08,8.134,4.54,7.068,3.053,4.573,3.627,6.518,5.563,4.602,8.636,7.113,5.062,8.058,3.006,9.075,8.072,3.062,5.587,8.098,8.132,4.037,4.086,8.595,7.072,6.066
2021-08-05,12:00:00,3.569,8.067,4.526,6.948,6.625,4.085,6.592,7.052,6.594,3.062,7.629,7.551,6.065,7.551,4.557,3.544,3.08,4.616,4.573,3.08,7.632,4.54,6.567,3.053,4.573,3.627,6.016,5.563,4.602,7.131,6.611,4.561,8.058,2.506,8.071,7.069,3.062,5.587,7.094,7.629,4.037,4.086,7.592,7.072,6.066
2021-08-05,16:00:00,3.067,7.566,4.526,6.447,6.122,3.583,6.09,6.551,6.093,2.56,7.127,7.551,6.065,7.551,4.557,3.544,3.08,4.616,4.071,3.08,7.13,4.54,6.065,3.053,4.573,3.627,6.016,5.563,4.602,6.629,6.611,4.561,8.559,2.506,8.071,6.567,3.062,5.587,7.094,7.629,4.037,3.584,7.592,6.569,5.565
2021-08-05,20:00:00,3.067,5.563,4.023,3.945,3.609,3.583,4.583,4.546,3.587,2.56,5.117,5.544,6.065,5.042,4.054,3.544,3.08,4.115,4.071,3.08,5.122,4.54,4.056,3.053,4.071,3.627,5.514,5.062,4.602,4.119,5.605,4.561,6.554,2.506,4.054,4.559,3.062,5.587,5.085,5.62,4.037,3.584,5.083,4.558,5.565
2021-08-06,0:00:00,3.067,3.559,4.023,1.943,2.101,3.583,3.076,3.042,2.084,2.56,3.106,4.038,5.061,3.034,4.054,3.544,2.578,4.115,4.071,3.08,3.112,4.038,2.55,3.053,4.071,3.125,5.514,5.062,4.1,1.607,4.599,4.06,4.548,2.506,1.542,2.551,2.56,5.085,3.076,3.609,3.536,3.584,2.572,2.545,5.064
2021-08-06,4:00:00,2.565,2.557,4.023,1.442,1.598,3.08,2.071,2.039,1.082,2.56,2.101,3.034,4.558,2.029,4.054,3.04,2.578,4.115,4.071,3.08,2.107,3.536,1.545,3.053,4.071,3.125,5.012,5.062,4.1,1.105,3.592,4.06,3.545,2.005,0.537,1.547,2.56,4.081,2.573,2.604,3.536,3.584,2.07,1.538,4.062
2021-08-06,8:00:00,2.565,3.559,3.52,3.945,3.106,2.578,3.076,3.543,3.086,2.058,4.112,3.536,4.056,4.54,3.552,3.04,2.578,3.614,3.569,2.577,3.112,3.034,3.052,2.551,3.569,2.622,4.51,4.561,3.598,4.119,3.592,3.559,4.046,2.005,4.557,3.555,2.058,3.578,3.578,4.112,3.536,3.082,4.079,4.054,3.561
2021-08-06,12:00:00,2.565,6.565,3.017,6.948,5.117,2.578,5.085,6.05,6.093,2.058,7.127,5.544,4.056,7.551,3.05,3.04,2.075,3.112,3.569,2.577,5.624,3.034,5.061,2.551,3.569,2.622,4.51,4.06,3.598,7.633,5.102,3.559,7.055,2.005,8.071,6.567,2.058,3.578,5.587,6.122,3.536,3.082,7.09,7.072,3.561
