Plot_ID,Site,Transect,Surf_geol,Landform,Surf_feat,Surf_feat_ele,Veg_type,Moist_grad,Site_moist,NDVI,NDVI-pos,LAI,Thaw_dep_aug21,Thaw_dep_aug22,Thaw_dep_aug23,Water_dep_aug21,Water_dep_aug22,Water_cov_jul23,Water_dep_aug23,Snow_dep_spr22,Snow_density_spr22,swe_spr22,Snow_dep_spr24,Veg_ht_jul23,Veg_ht_21-22,Moss-thick-live,Org_thick,Species richness,Vol_moist,Biomass_shrub_dec,Biomass_shrub_everg,Biomass_gram_livedead,Biomass_forb,Biomass_horsetail,Biomass_lichen,Biomass_litter,Biomass_moss,Biomass_total
21A-27,nirpo,T6,Qau,RS,L3,n,L3,aquatic,10,-0.20951786,,0,53.2,37,55.75,50.8,64.6,100,53.25,57,0.3,18.2,53.6,0,0,3.67,13,2,54.94,9.32,0,48.24,0,0,0,100.87,327.83,486.26
21A-28,nirpo,T6,Qau,RS,L3,n,A4t,aquatic,10,-0.14355208,,0.26,46.2,43.8,50.25,39.8,39.2,100,39.75,72,0.29,18.6,58.8,7,38,5,23,2,64.53,1.64,0,0,390.88,0,0,0,3.29,395.81
21A-29,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,-0.24673331,,0,46.4,43.2,42.25,44,45.2,100,52.25,69,0.29,21.2,60,0,0,23.33,12,3,58.76,0,0,36.73,0,0,0,0,6036.95,6073.68
21A-30,nirpo,T6,Qau,RS,L3,n,L3,aquatic,10,,,,53.8,53.2,55.25,51.8,48.8,100,54,72,0.29,21.2,62.2,NA,0,8.33,15,2,40.42,13.71,0,42.21,8.22,0,0,225.32,100.87,390.33
21A-31,nirpo,T6,Qau,RS,L3,n,A4t,aquatic,10,,,,52.6,48,55,43.8,44.6,100,52.75,50,0.31,16.5,63.6,NA,18.67,0,10,1,56.47,55.92,0,40.02,109.64,0,0,146.92,75.11,427.61
21A-32,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,,,,42.2,27.4,40.75,30.4,49,100,41,66,0.28,20.3,46.2,NA,0,18,7,4,50.64,0,0,8.22,0,0,0,0,2712.02,2720.24
21A-33,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,,,,40.6,37.6,44.5,24.6,31.8,100,26.75,77,0.27,22.9,78.4,NA,0,17,15,3,63.08,40.57,0,5.48,0,0,0,0,1491.69,1537.74
21A-34,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,,,,40,29,44,48.2,59.6,100,54.25,80,0.29,23.4,93.2,NA,0,37.8,8,2,54.39,6.03,0,0,58.11,0,0,0,6346.69,6410.83
21A-35,nirpo,T6,Qau,RS,L3,n,L3,aquatic,10,-0.30457076,,0,61,46.8,51.5,50.6,52.4,100,53.25,84,0.32,27,93.2,0,0,4.33,5,2,68.06,39.47,0,0.55,0,0,0,52.63,60.85,153.5
21A-36,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,0.59827975,0.59827975,0.27,38.8,40.4,42.25,35.6,34.2,100,35.25,88,0.3,25.1,90.4,2.3,0,33,11,1,59.41,0,0,0.55,0,0,0,0,3733.9,3734.45
21A-37,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,,,,45.2,40.2,43.75,50.2,53,100,59.25,73,0.29,25.3,69.6,NA,0,16.67,8,2,53.96,2.19,0,6.03,0,0,0,0,694.59,702.81
21A-38,nirpo,T6,Qau,RS,L3,n,L3,aquatic,10,-0.32153943,,0,53.6,43.4,51,50.8,61.8,100,62.25,82,0.29,25.3,69.8,0,0,4.67,12,2,51.52,7.68,0,8.77,0,0,0,21.93,47.69,86.07
21A-39,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,,,,45,39.6,55.75,31.8,38.4,100,30.25,63,0.29,18,41.6,NA,0,15.67,10,2,43.95,0,0,139.79,0,0,0,0,3498.16,3637.95
21A-40,nirpo,T6,Qau,RS,L3,n,A4t,aquatic,10,-0.14048751,,0,50,37,49.5,50.6,61.4,100,56.5,63,0.28,18.2,56.2,0,48,7,10,5,50.43,0,0,19.74,36.18,0,0,0,28.51,84.43
